[Log] 1 (try.html, line 32)
[Log] 72 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:40 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3639549863474 (try.html, line 34)
[Log] Longitude: -75.78509872451832 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 73 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:41 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36392638770146 (try.html, line 34)
[Log] Longitude: -75.78516716144804 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 74 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:42 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363854365371346 (try.html, line 34)
[Log] Longitude: -75.7853367509233 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 75 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:43 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36380633893143 (try.html, line 34)
[Log] Longitude: -75.78544978285208 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 76 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:44 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3637838566452 (try.html, line 34)
[Log] Longitude: -75.78550269492553 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 77 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:45 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3636930783137 (try.html, line 34)
[Log] Longitude: -75.7856888032984 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 78 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:46 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363629629945116 (try.html, line 34)
[Log] Longitude: -75.78581800902612 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 79 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:47 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363571793932756 (try.html, line 34)
[Log] Longitude: -75.78594450635137 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 80 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:48 GMT-0500 (EST) (try.html, line 33)
